timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1717007098537,142,Змінити героя,200,OK,Endurance Test 1-498,text,true,,262,231,626,626,http://localhost:3001/character/4,142,0,0
1717007097526,1153,Змінити героя,200,OK,Endurance Test 1-388,text,true,,262,231,626,626,http://localhost:3001/character/4,1153,0,0
1717007098537,142,Отримати героя за id ,200,OK,Endurance Test 1-487,text,true,,266,130,626,626,http://localhost:3001/character/2,142,0,0
1717007098273,406,Створити героя ,200,OK,Endurance Test 1-984,text,true,,263,236,626,626,http://localhost:3001/character,406,0,0
1717007097258,1129,Створити героя ,200,OK,Endurance Test 1-433,text,true,,263,236,627,627,http://localhost:3001/character,817,0,0
1717007098185,433,Отримати героя за id ,200,OK,Endurance Test 1-468,text,true,,266,130,626,626,http://localhost:3001/character/2,74,0,0
1717007098542,206,Отримати героя за id ,200,OK,Endurance Test 1-510,text,true,,266,130,626,626,http://localhost:3001/character/2,136,0,0
1717007098420,328,Видалити героя,200,OK,Endurance Test 1-525,text,true,,249,216,626,626,http://localhost:3001/character/4,258,0,0
1717007097530,1218,Створити героя ,200,OK,Endurance Test 1-819,text,true,,263,236,626,626,http://localhost:3001/character,1218,0,0
1717007098516,232,Отриати всіх героїв ,200,OK,Endurance Test 1-581,text,true,,8325,129,626,626,http://localhost:3001/characters,231,0,0
1717007098542,206,Отримати героя за id ,200,OK,Endurance Test 1-520,text,true,,266,130,626,626,http://localhost:3001/character/2,136,0,0
1717007098697,51,Отриати всіх героїв ,200,OK,Endurance Test 1-775,text,true,,8760,129,626,626,http://localhost:3001/characters,51,0,0
1717007098697,51,Змінити героя,200,OK,Endurance Test 1-621,text,true,,262,231,626,626,http://localhost:3001/character/4,51,0,0
1717007098696,52,Отриати всіх героїв ,200,OK,Endurance Test 1-772,text,true,,8760,129,626,626,http://localhost:3001/characters,52,0,0
1717007098696,52,Змінити героя,200,OK,Endurance Test 1-766,text,true,,262,231,626,626,http://localhost:3001/character/4,52,0,0
1717007098696,53,Отриати всіх героїв ,200,OK,Endurance Test 1-695,text,true,,8760,129,626,626,http://localhost:3001/characters,53,0,0
1717007098696,53,Змінити героя,200,OK,Endurance Test 1-947,text,true,,262,231,626,626,http://localhost:3001/character/4,53,0,0
1717007098696,53,Отриати всіх героїв ,200,OK,Endurance Test 1-623,text,true,,8731,129,626,626,http://localhost:3001/characters,53,0,0
1717007098696,53,Створити героя ,200,OK,Endurance Test 1-999,text,true,,263,236,626,626,http://localhost:3001/character,53,0,0
